match_key,date,result,opponent,sets_played,kills_attacking,kills_per_set_attacking,kill_pct_attacking,kill_att_attacking,kill_err_attacking,hit_pct_attacking,season,assists_ball_handling,assists_per_set_ball_handling,ball_handling_att_ball_handling,ball_handling_err_ball_handling,solo_blks_blocking,assisted_blks_blocking,total_blks_blocking,blks_per_set_blocking,blk_err_blocking,digs_digging,dig_err_digging,digs_per_set_digging,receiving_serve_receiving,receiving_err_serve_receiving,receiving_per_set_serve_receiving,aces_serving,aces_per_set_serving,ace_pct_serving,serve_att_serving,serve_err_serving,serve_pct_serving,points_serving
FR_09-01_TA_1,2016-09-01,W 3-0,Takoma Academy,3,5,1.7,20.0,25,6,-0.04,FR,0,0.0,0,0,0,0,0,0.0,0,7,0,2.3,13,2,4.3,6,2.0,40.0,15,2,86.7,0
FR_09-09_RCSA_1,2016-09-09,W 2-0,River City Science Academy,2,6,3.0,42.9,14,1,0.357,FR,0,0.0,0,0,1,0,1,0.5,0,5,0,2.5,13,0,6.5,2,1.0,33.3,6,0,100.0,0
FR_09-09_INTERLACHEN_2,2016-09-09,W 2-0,Interlachen,2,3,1.5,16.7,18,3,0.0,FR,0,0.0,0,0,1,0,1,0.5,0,10,0,5.0,8,2,4.0,4,2.0,50.0,8,0,100.0,0
FR_09-09_FSDB_3,2016-09-09,W 2-0,Florida School for the Deaf & Blind,2,3,1.5,20.0,15,4,-0.067,FR,0,0.0,0,0,1,0,1,0.5,0,4,0,2.0,12,2,6.0,5,2.5,62.5,8,0,100.0,0
FR_09-17_AIDB_1,2016-09-17,W 3-0,Alabama School for the Deaf,3,11,3.7,44.0,25,6,0.2,FR,0,0.0,0,0,0,0,0,0.0,0,10,0,3.3,12,0,4.0,2,0.7,22.2,9,1,88.9,0
FR_09-20_SJDS_1,2016-09-20,W 3-0,Smith Jewish Day School,3,7,2.3,31.8,22,3,0.182,FR,1,0.3,0,0,0,0,0,0.0,0,12,0,4.0,12,1,4.0,3,1.0,37.5,8,0,100.0,0
FR_09-22_RB_1,2016-09-22,W 3-0,Riverdale Baptist,3,5,1.7,45.5,11,1,0.364,FR,0,0.0,0,0,0,0,0,0.0,0,19,0,6.3,16,3,5.3,2,0.7,20.0,10,1,90.0,0
FR_09-24_CSHC_1,2016-09-24,W,Connelly School of the Holy Child,,,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,
FR_09-24_ISA_2,2016-09-24,L 0-2,Islamic Saudi Academy,2,1,0.5,11.1,9,3,-0.222,FR,2,1.0,0,0,0,0,0,0.0,0,4,0,2.0,11,2,5.5,0,0.0,0.0,3,1,66.7,0
FR_09-24_SIDWELL_3,2016-09-24,W 2-0,Sidwell Friends,2,3,1.5,16.7,18,2,0.056,FR,0,0.0,0,0,0,0,0,0.0,0,10,0,5.0,10,1,5.0,1,0.5,50.0,2,0,100.0,0
FR_09-24_WILSON_4,2016-09-24,L 0-2,Jackson-Reed,2,4,2.0,25.0,16,6,-0.125,FR,0,0.0,0,0,0,0,0,0.0,0,2,0,1.0,4,0,2.0,2,1.0,50.0,4,0,100.0,0
FR_09-24_SIDWELL_5,2016-09-24,W 2-1,Sidwell Friends,3,6,2.0,42.9,14,0,0.429,FR,1,0.3,0,0,0,0,0,0.0,0,6,0,2.0,8,1,2.7,0,0.0,0.0,4,2,50.0,0
FR_09-27_MCLEAN_1,2016-09-27,W 3-0,McLean,,,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,
FR_10-04_OAKCREST_1,2016-10-04,W 3-0,Oakcrest,3,11,3.7,50.0,22,2,0.409,FR,0,0.0,0,0,1,0,1,0.3,0,12,0,4.0,7,4,2.3,5,1.7,50.0,10,1,90.0,0
FR_10-07_MSD_1,2016-10-07,L 0-2,Maryland School for the Deaf,2,3,1.5,15.0,20,4,-0.05,FR,0,0.0,0,0,0,1,1,0.5,0,2,0,1.0,10,1,5.0,0,0.0,0.0,3,0,100.0,0
FR_10-07_CSDR_2,2016-10-07,W 2-1,California School for the Deaf-Riverside,3,6,2.0,28.6,21,3,0.143,FR,0,0.0,0,0,0,0,0,0.0,0,9,0,3.0,7,2,2.3,1,0.3,8.3,12,0,100.0,0
FR_10-07_TSD_3,2016-10-07,L 0-2,Texas School for the Deaf,2,2,1.0,15.4,13,3,-0.077,FR,0,0.0,0,0,0,0,0,0.0,0,11,0,5.5,9,3,4.5,0,0.0,0.0,2,2,0.0,0
FR_10-07_CSDF_4,2016-10-07,L 1-2,California School for the Deaf,3,3,1.0,21.4,14,2,0.071,FR,0,0.0,0,0,0,1,1,0.3,0,2,0,0.7,16,4,5.3,0,0.0,0.0,5,1,80.0,0
FR_10-08_ISD_1,2016-10-08,L 0-2,Indiana School for the Deaf,2,2,1.0,15.4,13,2,0.0,FR,0,0.0,0,0,0,0,0,0.0,0,3,0,1.5,10,4,5.0,0,0.0,0.0,3,0,100.0,0
FR_10-08_CSDF_2,2016-10-08,L 0-2,California School for the Deaf,2,9,4.5,47.4,19,1,0.421,FR,0,0.0,0,0,0,1,1,0.5,1,7,0,3.5,14,1,7.0,0,0.0,0.0,7,0,100.0,0
FR_10-08_CSDR_3,2016-10-08,L 1-2,California School for the Deaf-Riverside,3,4,1.3,18.2,22,3,0.045,FR,0,0.0,0,0,0,0,0,0.0,0,8,0,2.7,7,3,2.3,0,0.0,0.0,3,0,100.0,0
FR_10-11_RB_1,2016-10-11,W 3-0,Riverdale Baptist,3,2,0.7,13.3,15,1,0.067,FR,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,15,3,5.0,0,0.0,0.0,5,1,80.0,0
FR_10-12_BURKE_1,2016-10-12,W 3-1,Burke,4,5,1.3,27.8,18,3,0.111,FR,1,0.3,0,0,0,0,0,0.0,0,6,0,1.5,9,1,2.3,1,0.3,10.0,10,0,100.0,0
FR_10-13_BHA_1,2016-10-13,W 3-0,Berman Hebrew Academy,3,4,1.3,66.7,6,2,0.333,FR,0,0.0,0,0,0,0,0,0.0,0,7,0,2.3,3,0,1.0,2,0.7,50.0,4,1,75.0,0
FR_10-15_MISD_1,2016-10-15,W 3-0,Mississippi School for the Deaf,3,9,3.0,33.3,27,6,0.111,FR,2,0.7,0,0,0,0,0,0.0,0,8,0,2.7,5,1,1.7,2,0.7,16.7,12,0,100.0,0
FR_10-18_SAA_1,2016-10-18,W 3-0,Spencerville Adventist Academy,3,3,1.0,10.3,29,5,-0.069,FR,1,0.3,0,0,0,0,0,0.0,0,17,0,5.7,16,1,5.3,10,3.3,37.0,27,1,96.3,0
FR_10-19_WIS_1,2016-10-19,L 2-3,Washington International,5,5,1.0,16.1,31,2,0.097,FR,1,0.2,0,0,0,0,0,0.0,0,23,0,4.6,16,1,3.2,4,0.8,30.8,13,1,92.3,0
FR_10-20_FIELD_1,2016-10-20,W 3-0,Field,1,3,3.0,60.0,5,0,0.6,FR,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,2,0,2.0,0,0.0,0.0,0,0,0.0,0
FR_10-21_SRSSH_1,2016-10-21,L 1-3,Stone Ridge School of the Sacred Heart,4,5,1.3,20.8,24,2,0.125,FR,1,0.3,0,0,0,0,0,0.0,1,18,0,4.5,23,2,5.8,1,0.3,10.0,10,1,90.0,0
FR_10-24_CL_1,2016-10-24,L 0-3,Covenant Life,3,2,0.7,10.0,20,3,-0.05,FR,0,0.0,0,0,0,0,0,0.0,0,8,0,2.7,17,4,5.7,0,0.0,0.0,5,1,80.0,0
FR_10-26_KAA_1,2016-10-26,L 0-3,King Abdullah Academy,3,1,0.3,20.0,5,3,-0.4,FR,0,0.0,0,0,0,0,0,0.0,0,1,0,0.3,10,3,3.3,0,0.0,0.0,0,0,0.0,0
FR_10-27_GTD_1,2016-10-27,L 0-3,Georgetown Day,3,3,1.0,12.5,24,2,0.042,FR,0,0.0,0,0,0,0,0,0.0,0,17,0,5.7,16,3,5.3,0,0.0,0.0,7,1,85.7,0
FR_11-08_PARKSIDE_1,2016-11-08,W 3-0,Parkside,3,10,3.3,47.6,21,3,0.333,FR,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,6,0,2.0,11,3.7,57.9,19,0,100.0,0
FR_11-09_WILSON_1,2016-11-09,W 3-0,Jackson-Reed,3,4,1.3,40.0,10,2,0.2,FR,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,12,3,4.0,4,1.3,20.0,20,0,100.0,0
FR_11-10_MARET_1,2016-11-10,W 3-0,Maret,3,6,2.0,31.6,19,2,0.211,FR,2,0.7,0,0,0,0,0,0.0,0,9,0,3.0,14,4,4.7,1,0.3,9.1,11,1,90.9,0
FR_11-11_SJ_1,2016-11-11,L 0-3,St. John's,3,4,1.3,23.5,17,1,0.176,FR,0,0.0,0,0,0,0,0,0.0,0,13,0,4.3,17,2,5.7,0,0.0,0.0,4,0,100.0,0
