match_key,date,result,opponent,sets_played,digs,dig_err,digs_per_set
FR_09-01_TA_1,09/01,W 3-0,Takoma Academy,3,7,0,2.3
FR_09-09_RCSA_1,09/09,W 2-0,River City Science Academy,2,5,0,2.5
FR_09-09_INTERLACHEN_2,09/09,W 2-0,Interlachen,2,10,0,5
FR_09-09_FSDB_3,09/09,W 2-0,Florida School for the Deaf & Blind,2,4,0,2
FR_09-17_AIDB_1,09/17,W 3-0,Alabama School for the Deaf,3,10,0,3.3
FR_09-20_SJDS_1,09/20,W 3-0,Smith Jewish Day School,3,12,0,4
FR_09-22_RB_1,09/22,W 3-0,Riverdale Baptist,3,19,0,6.3
FR_09-24_CSHC_1,09/24,W,Connelly School of the Holy Child,,,,
FR_09-24_ISA_2,09/24,L 0-2,Islamic Saudi Academy,2,4,0,2
FR_09-24_SIDWELL_3,09/24,W 2-0,Sidwell Friends,2,10,0,5
FR_09-24_WILSON_4,09/24,L 0-2,Jackson-Reed,2,2,0,1
FR_09-24_SIDWELL_5,09/24,W 2-1,Sidwell Friends,3,6,0,2
FR_09-27_MCLEAN_1,09/27,W 3-0,McLean,,,,
FR_10-04_OAKCREST_1,10/04,W 3-0,Oakcrest,3,12,0,4
FR_10-07_MSD_1,10/07,L 0-2,Maryland School for the Deaf,2,2,0,1
FR_10-07_CSDR_2,10/07,W 2-1,California School for the Deaf-Riverside,3,9,0,3
FR_10-07_TSD_3,10/07,L 0-2,Texas School for the Deaf,2,11,0,5.5
FR_10-07_CSDF_4,10/07,L 1-2,California School for the Deaf,3,2,0,0.7
FR_10-08_ISD_1,10/08,L 0-2,Indiana School for the Deaf,2,3,0,1.5
FR_10-08_CSDF_2,10/08,L 0-2,California School for the Deaf,2,7,0,3.5
FR_10-08_CSDR_3,10/08,L 1-2,California School for the Deaf-Riverside,3,8,0,2.7
FR_10-11_RB_1,10/11,W 3-0,Riverdale Baptist,3,11,0,3.7
FR_10-12_BURKE_1,10/12,W 3-1,Burke,4,6,0,1.5
FR_10-13_BHA_1,10/13,W 3-0,Berman Hebrew Academy,3,7,0,2.3
FR_10-15_MISD_1,10/15,W 3-0,Mississippi School for the Deaf,3,8,0,2.7
FR_10-18_SAA_1,10/18,W 3-0,Spencerville Adventist Academy,3,17,0,5.7
FR_10-19_WIS_1,10/19,L 2-3,Washington International,5,23,0,4.6
FR_10-20_FIELD_1,10/20,W 3-0,Field,1,0,0,0
FR_10-21_SRSSH_1,10/21,L 1-3,Stone Ridge School of the Sacred Heart,4,18,0,4.5
FR_10-24_CL_1,10/24,L 0-3,Covenant Life,3,8,0,2.7
FR_10-26_KAA_1,10/26,L 0-3,King Abdullah Academy,3,1,0,0.3
FR_10-27_GTD_1,10/27,L 0-3,Georgetown Day,3,17,0,5.7
FR_11-08_PARKSIDE_1,11/08,W 3-0,Parkside,3,11,0,3.7
FR_11-09_WILSON_1,11/09,W 3-0,Jackson-Reed,3,11,0,3.7
FR_11-10_MARET_1,11/10,W 3-0,Maret,3,9,0,3
FR_11-11_SJ_1,11/11,L 0-3,St. John's,3,13,0,4.3