match_key,date,result,opponent,sets_played,receiving,receiving_err,receiving_per_set
SR_08-29_MARET_1,08/29,W 3-2,Maret,5,24,2,4.8
SR_09-03_DCI_1,09/03,W 3-0,DC International,3,12,3,4
SR_09-05_CL_1,09/05,L 0-3,Covenant Life,3,12,3,4
SR_09-07_BIHS_1,09/07,L 0-2,Bishop Ireton,2,7,1,3.5
SR_09-07_HIGHLAND_2,09/07,W 2-1,Highland,3,20,0,6.7
SR_09-07_EPISCOPAL_3,09/07,L 1-2,Episcopal,3,13,1,4.3
SR_09-10_SAA_1,09/10,W 3-0,Spencerville Adventist Academy,3,16,0,5.3
SR_09-12_BIHS_1,09/12,L 0-3,Bishop Ireton,3,15,4,5
SR_09-14_SCA_1,09/14,W 2-0,Shalom Christian Academy,2,11,1,5.5
SR_09-14_MSD_2,09/14,T 1-1,Maryland School for the Deaf,2,13,0,6.5
SR_09-14_SJCP_3,09/14,L 0-2,St. John's Catholic Prep,2,8,4,4
SR_09-14_MSD_4,09/14,W 2-1,Maryland School for the Deaf,3,15,2,5
SR_09-14_NL_5,09/14,W 2-0,New Life Christian School,2,5,1,2.5
SR_09-17_WCA_1,09/17,W 3-1,Washington Christian Academy,4,15,2,3.8
SR_09-19_BURKE_1,09/19,W 3-0,Burke,3,4,0,1.3
SR_09-21_DCI_1,09/21,L 1-2,DC International,3,17,0,5.7
SR_09-21_SWW_2,09/21,W 2-0,School Without Walls,2,1,0,0.5
SR_09-21_KAA_3,09/21,W 2-0,King Abdullah Academy,2,3,0,1.5
SR_09-21_BULLIS_4,09/21,W 2-0,Bullis,2,5,0,2.5
SR_09-21_BULLIS_5,09/21,L 0-2,Bullis,2,12,0,6
SR_09-24_FIELD_1,09/24,W 3-0,Field,3,14,0,4.7
SR_09-25_SJDS_1,09/25,W 3-0,Smith Jewish Day School,3,16,3,5.3
SR_09-27_GTD_1,09/27,L 1-3,Georgetown Day,4,30,4,7.5
SR_09-30_SSFS_1,09/30,W 3-0,Sandy Spring Friends,3,2,0,0.7
SR_10-04_ISD_1,10/04,W 2-0,Indiana School for the Deaf,2,9,1,4.5
SR_10-04_CSDF_2,10/04,W 2-0,California School for the Deaf,2,6,0,3
SR_10-04_TSD_3,10/04,L 0-2,Texas School for the Deaf,2,16,0,8
SR_10-04_CSDR_4,10/04,W 2-1,California School for the Deaf-Riverside,3,12,0,4
SR_10-05_ISD_1,10/05,W 2-0,Indiana School for the Deaf,2,10,2,5
SR_10-05_TSD_2,10/05,L 0-2,Texas School for the Deaf,2,15,2,7.5
SR_10-08_OAKCREST_1,10/08,W 3-0,Oakcrest,3,24,2,8
SR_10-10_BHA_1,10/10,W 3-0,Berman Hebrew Academy,3,8,0,2.7
SR_10-12_ROOSEVELT_1,10/12,L 1-2,Roosevelt,2,8,1,4
SR_10-12_MACA_3,10/12,W 2-0,Mount Airy Christian Academy,2,10,0,5
SR_10-12_PA_2,10/12,L 0-2,Princess Anne,2,15,1,7.5
SR_10-12_KAA_4,10/12,W 2-0,King Abdullah Academy,2,14,1,7
SR_10-12_MACA_5,10/12,W 2-0,Mount Airy Christian Academy,2,11,1,5.5
SR_10-15_WIS_1,10/15,W 3-0,Washington International,3,16,1,5.3
SR_10-17_BARRIE_1,10/17,W 3-0,Barrie,3,7,0,2.3
SR_10-18_KAA_1,10/18,W 3-1,King Abdullah Academy,4,18,2,4.5
SR_10-21_MCLEAN_1,10/21,W,McLean,,,,
SR_10-23_BHA_1,10/23,W 3-0,Berman Hebrew Academy,3,10,0,3.3
SR_10-28_SSFS_1,10/28,W 3-0,Sandy Spring Friends,3,13,0,4.3
SR_10-30_WIS_1,10/30,W 3-0,Washington International,3,14,0,4.7
SR_11-05_BELL_1,11/05,W 3-0,Bell,3,12,0,4
SR_11-06_SJ_1,11/06,L 0-3,St. John's,3,21,1,7