match_key,date,result,opponent,sets_played,assists,assists_per_set,ball_handling_att,ball_handling_err
SO_08-29_SAA_1,08/29,W 3-0,Spencerville Adventist Academy,3,0,0,0,0
SO_09-05_MARET_1,09/05,L 0-3,Maret,3,0,0,0,0
SO_09-07_BW_1,09/07,W 3-0,Brookewood,3,0,0,0,0
SO_09-09_AASD_1,09/09,W 3-0,Atlanta Area School for the Deaf,3,0,0,0,0
SO_09-09_AIDB_2,09/09,W 3-0,Alabama School for the Deaf,3,1,0.3,0,0
SO_09-12_WCA_1,09/12,W 3-0,Washington Christian Academy,3,0,0,0,0
SO_09-14_MCLEAN_1,09/14,W 3-0,McLean,3,0,0,0,0
SO_09-16_FRIENDS_1,09/16,W 3-0,Friends,3,3,1,0,0
SO_09-18_BHA_1,09/18,W 3-0,Berman Hebrew Academy,,,,,
SO_09-19_BOHS_1,09/19,L 0-3,Bishop O'Connell,3,0,0,0,0
SO_09-21_GCA_1,09/21,W 3-0,Grace Christian Academy,3,1,0.3,0,0
SO_09-23_KAA_2,09/23,W 2-1,King Abdullah Academy,3,1,0.3,0,0
SO_09-23_SIDWELL_1,09/23,L 1-2,Sidwell Friends,3,0,0,0,0
SO_09-23_WILSON_4,09/23,W 2-0,E.L. Haynes,2,0,0,0,0
SO_09-23_HAYNES_3,09/23,L 0-2,Jackson-Reed,2,0,0,0,0
SO_09-26_CL_1,09/26,L 1-3,Covenant Life,3,0,0,0,0
SO_09-28_SJDS_1,09/28,W 3-0,Smith Jewish Day School,3,0,0,0,0
SO_10-03_WIS_1,10/03,L 1-3,Washington International,4,1,0.3,0,0
SO_10-06_CSDR_3,10/06,L 0-2,Texas School for the Deaf,2,0,0,0,0
SO_10-06_CSDF_4,10/06,L 0-2,Maryland School for the Deaf,2,0,0,0,0
SO_10-06_TSD_1,10/06,W 2-1,California School for the Deaf-Riverside,3,0,0,0,0
SO_10-06_MSD_2,10/06,L 1-2,California School for the Deaf,3,1,0.3,0,0
SO_10-07_CSDR_1,10/07,L 1-2,California School for the Deaf-Riverside,3,0,0,0,0
SO_10-07_ISD_2,10/07,L 0-2,Indiana School for the Deaf,2,0,0,0,0
SO_10-07_CSDF_3,10/07,L 1-2,California School for the Deaf,3,0,0,0,0
SO_10-10_BURKE_1,10/10,W 3-0,Burke,3,0,0,0,0
SO_10-12_CGC_1,10/12,W 3-0,Clinton Grace Christian,1,0,0,0,0
SO_10-14_BELL_1,10/14,W 3-0,Bell,3,1,0.3,0,0
SO_10-17_FIELD_1,10/17,W 3-0,Field,3,0,0,0,0
SO_10-18_BIHS_1,10/18,L 0-3,Bishop Ireton,3,0,0,0,0
SO_10-20_KAA_1,10/20,L 0-3,King Abdullah Academy,3,0,0,0,0
SO_10-23_WCA_1,10/23,W 3-0,Washington Christian Academy,3,1,0.3,0,0
SO_10-25_BURKE_1,10/25,W 3-0,Burke,3,1,0.3,0,0
SO_10-30_WIS_1,10/30,L 2-3,Washington International,5,1,0.2,0,0
SO_11-07_BELL_1,11/07,W 3-1,Bell,,,,,
SO_11-08_WILSON_1,11/08,L 0-3,Woodrow Wilson,,,,,