date,opponent,result,set_scores,set_result,set_count,set_diff,location,is_conference,is_playoffs,is_tournament,maxpreps
09/01/2016,Takoma Academy,W,"25-22,25-19,25-13",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-01-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-takoma-academy.htm?c=RvM_PsTPpUqW-rKrugJlqw#tab=box-score&schoolid=
09/09/2016,River City Science Academy,W,"25-11,25-19",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-river-city-science-academy.htm?c=pi9qfk1i5EmrOFHajdNXlA#tab=box-score&schoolid=
09/09/2016,Interlachen,W,"25-14,25-19",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/interlachen-vs-model-secondary-school-for-the-deaf.htm?c=kA1J5gUZYkGHUe9qPJ2ZFQ#tab=box-score&schoolid=
09/09/2016,Florida School for the Deaf & Blind,W,"26-24,25-14",2-0,2,2,away,False,False,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/florida-school-for-the-deaf-and-blind-vs-model-secondary-school-for-the-deaf.htm?c=57jGU_XGx064Xen13AMNDQ#tab=box-score&schoolid=
09/17/2016,Alabama School for the Deaf,W,"25-21,25-13,25-11",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/09-17-2016/volleyball-16/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=kXOQNahMc02EHVChPD9akw#tab=box-score&schoolid=
09/20/2016,Smith Jewish Day School,W,"25-8,25-18,25-11",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/09-20-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=7PNjdNdlz0CeKtt37FNG9Q
09/22/2016,Riverdale Baptist,W,"25-16,25-12,25-22",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-22-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=nxuukkNYG0GZqKd8l3qQdw#tab=box-score&schoolid=
09/24/2016,Connelly School of the Holy Child,W,NA,0,0,0,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/connelly-school-of-the-holy-child-vs-model-secondary-school-for-the-deaf.htm?c=jBxjGiIWW0u7_teU_JgZVg#tab=matchup&schoolid=
09/24/2016,Islamic Saudi Academy,L,"20-25,17-25",0-2,2,-2,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/islamic-saudi-academy-vs-model-secondary-school-for-the-deaf.htm?c=vIP1JGBVT0OrNQn3k7Vbug#tab=box-score&schoolid=
09/24/2016,Sidwell Friends,W,"25-20,25-22",2-0,2,2,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=JEvBgo21gkC-Z8s4LWkp1A#tab=box-score&schoolid=
09/24/2016,Jackson-Reed,L,"12-25,23-25",0-2,2,-2,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=N6-HRS3cNkOz2AJD_0rVbw#tab=box-score&schoolid=
09/24/2016,Sidwell Friends,W,"17-25,25-23,15-9",2-1,3,1,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=XwBzBi0pnUmHClGqHKF48g#tab=box-score&schoolid=
09/27/2016,McLean,W,"25-13,25-12,25-4",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/09-27-2016/volleyball-16/mclean-vs-model-secondary-school-for-the-deaf.htm?c=ySNeF2UEdk6EgKi-o-mblA
10/04/2016,Oakcrest,W,"25-23,25-8,25-11",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-04-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-oakcrest.htm?c=aUV_nOezW0CdAXm48_6bgg#tab=box-score&schoolid=
10/07/2016,Maryland School for the Deaf,L,"10-25,17-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=owB3x6209kypjGTlkFpyUg#tab=box-score&schoolid=
10/07/2016,California School for the Deaf-Riverside,W,"20-25,25-23,15-12",2-1,3,1,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=591mwas5f0WoifVu5uqlog#tab=box-score&schoolid=
10/07/2016,Texas School for the Deaf,L,"11-25,16-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=AZ1n_IF5o0qp55V7f-lMvg#tab=box-score&schoolid=
10/07/2016,California School for the Deaf,L,"25-21,14-25,9-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=2GJMycrpkUGekllexQB5WQ#tab=box-score&schoolid=
10/08/2016,Indiana School for the Deaf,L,"14-25,14-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=wj2y6CuesEukVstn_5dczA#tab=box-score&schoolid=
10/08/2016,California School for the Deaf,L,"18-25,20-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=fuAmSgfRsUuIfu9RrW5Euw#tab=box-score&schoolid=
10/08/2016,California School for the Deaf-Riverside,L,"27-25,17-25,9-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=EOTlFc410ESAEZ792PdFiA#tab=box-score&schoolid=
10/11/2016,Riverdale Baptist,W,"25-15,25-11,25-12",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/10-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=LTfs0953zkmtl3g-YTlQmw#tab=box-score&schoolid=
10/12/2016,Burke,W,"25-9,25-12,22-25,25-10",3-1,4,2,away,True,False,False,https://www.maxpreps.com/games/10-12-2016/volleyball-16/burke-vs-model-secondary-school-for-the-deaf.htm?c=Us4trl_zYE-CmlSfbnhPPg#tab=box-score&schoolid=
10/13/2016,Berman Hebrew Academy,W,"25-3,25-4,25-9",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/10-13-2016/volleyball-16/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=wBOWsi4yKU-0NsYO6AW5gA#tab=box-score&schoolid=
10/15/2016,Mississippi School for the Deaf,W,"25-15,25-14,25-13",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/10-15-2016/volleyball-16/mississippi-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=QLQua9MRV06tGzikyS_X5Q#tab=box-score&schoolid=
10/18/2016,Spencerville Adventist Academy,W,"25-15,25-9,25-9",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-18-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=dOdx3x38hUGxQ27mlnE5lw#tab=box-score&schoolid=
10/19/2016,Washington International,L,"23-25,14-25,25-18,25-19,10-15",2-3,5,-1,home,True,False,False,https://www.maxpreps.com/games/10-19-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=3wDvA7Z8JkS_UPTSjFy3kA#tab=box-score&schoolid=
10/20/2016,Field,W,"25-4,25-10,25-16",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/10-20-2016/volleyball-16/field-vs-model-secondary-school-for-the-deaf.htm?c=c2uXDnz9_E-5t8OAyhaZdA#tab=box-score&schoolid=
10/21/2016,Stone Ridge School of the Sacred Heart,L,"14-25,23-25,25-17,16-25",1-3,4,-2,home,False,False,False,https://www.maxpreps.com/games/10-21-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-stone-ridge-school-of-the-sacred-heart.htm?c=nVB-PHRnU0W-XWA-RQ6dcg#tab=box-score&schoolid=
10/24/2016,Covenant Life,L,"18-25,19-25,19-25",0-3,3,-3,away,True,False,False,https://www.maxpreps.com/games/10-24-2016/volleyball-16/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=HwFfJ1cHOESVd3ar6pDj9g#tab=box-score&schoolid=
10/26/2016,King Abdullah Academy,L,"21-25,17-25,17-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-26-2016/volleyball-16/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=-tOrhWspCEeA5i44Oqpqsg#tab=box-score&schoolid=
10/27/2016,Georgetown Day,L,"23-25,18-25,20-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-27-2016/volleyball-16/georgetown-day-vs-model-secondary-school-for-the-deaf.htm?c=R3MWzYqaokauTCV50skhGg#tab=box-score&schoolid=
11/08/2016,Parkside,W,"25-10,25-13,25-7",3-0,3,3,home,False,True,True,https://www.maxpreps.com/games/11-08-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-parkside.htm?c=mx6fmINk5EK6YawEoc4h1A#tab=box-score&schoolid=
11/09/2016,Jackson-Reed,W,"25-21,25-17,25-15",3-0,3,3,away,False,True,True,https://www.maxpreps.com/games/11-09-2016/volleyball-16/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=RTKAoLMPCk63gR0nYK7KEw#tab=box-score&schoolid=
11/10/2016,Maret,W,"25-23,25-17,25-23",3-0,3,3,home,False,True,True,https://www.maxpreps.com/games/11-10-2016/volleyball-16/maret-vs-model-secondary-school-for-the-deaf.htm?c=96mssrBQ20WDyAp_g56jLg#tab=box-score&schoolid=
11/11/2016,St. John's,L,"12-25,13-25,15-25",0-3,3,-3,neutral,False,True,True,https://www.maxpreps.com/games/11-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-st-johns.htm?c=poFrFJ7iK0eyg9kZPUOQaw#tab=box-score&schoolid=
08/29/2017,Spencerville Adventist Academy,W,"25-18,25-5,25-12",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/08-29-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=EysMl__wXEWyKfHgNVfpEQ#tab=box-score&schoolid=
09/05/2017,Maret,L,"19-25,14-25,18-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/09-05-2017/volleyball-17/maret-vs-model-secondary-school-for-the-deaf.htm?c=cnUwxUF910qvo_byQLATdQ#tab=box-score&schoolid=
09/07/2017,Brookewood,W,"25-8,25-16,25-6",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/09-07-2017/volleyball-17/brookewood-vs-model-secondary-school-for-the-deaf.htm?c=6TewSwa2p0eGwUFJqfNdbA#tab=box-score&schoolid=
09/09/2017,Atlanta Area School for the Deaf,W,"25-6,25-10,25-9",3-0,3,3,neutral,False,False,False,https://www.maxpreps.com/games/09-09-2017/volleyball-17/atlanta-area-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=NGJtcTostUS-zUwoR-XM_g#tab=box-score&schoolid=
09/09/2017,Alabama School for the Deaf,W,"25-13,25-9,25-10",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-09-2017/volleyball-17/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Ed5SCbZmm0yep11pUl3Caw#tab=box-score&schoolid=
09/12/2017,Washington Christian Academy,W,"25-8,25-11,25-12",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/09-12-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=mujWv8l3TkaJ3JtoMOy_Eg#tab=box-score&schoolid=
09/14/2017,McLean,W,"25-8,25-10,25-12",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/09-14-2017/volleyball-17/mclean-vs-model-secondary-school-for-the-deaf.htm?c=a9ksnSw3I025jlIEVO8hMw#tab=box-score&schoolid=
09/16/2017,Friends,W,"25-15,25-17,25-8",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/09-16-2017/volleyball-17/friends-vs-model-secondary-school-for-the-deaf.htm?c=sOtrffr4_kOXt-grb9UdRA#tab=box-score&schoolid=
09/18/2017,Berman Hebrew Academy,W,"25-10,25-6,25-9",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/09-18-2017/volleyball-17/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=p1PM8dzkQkagnlgqSuigBA#tab=box-score&schoolid=
09/19/2017,Bishop O'Connell,L,"23-25,12-25,16-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/09-19-2017/volleyball-17/bishop-oconnell-vs-model-secondary-school-for-the-deaf.htm?c=uXQAlUqtb0ycWUXwSNnzlw#tab=box-score&schoolid=
09/21/2017,Grace Christian Academy,W,"25-20,25-16,25-11",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-21-2017/volleyball-17/grace-christian-academy-vs-model-secondary-school-for-the-deaf.htm?c=6iQcV7vUBku93iL_EBh5cg#tab=box-score&schoolid=
09/23/2017,Sidwell Friends,L,"25-14,21-25,15-13",1-2,3,-1,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=RHS_XupWN0aw0EUBp_7UvQ#tab=box-score&schoolid=
09/23/2017,King Abdullah Academy,W,"25-22,16-25,15-12",2-1,3,1,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=98zdz76AtE2OsGyZS2GxxA
09/23/2017,E.L. Haynes,W,"25-7,25-14",2-0,2,2,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/el-haynes-vs-model-secondary-school-for-the-deaf.htm?c=cynbtw0G0UG9n-coKiZarQ
09/23/2017,Jackson-Reed,L,"8-25,19-25",0-2,2,-2,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=x_o0b4vbv0qqMUYXQm1IBw
09/26/2017,Covenant Life,L,"25-20,21-25,18-25,5-25",1-3,4,-2,away,False,False,False,https://www.maxpreps.com/games/09-26-2017/volleyball-17/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=MH9f-mHZHUO8KB0Yr88X_Q
09/28/2017,Smith Jewish Day School,W,"25-11,25-9,25-18",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/09-28-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=dlMsvqtOiU2j73ldjH2LDA
10/03/2017,Washington International,L,"27-29,25-21,16-25,24-26",1-3,4,-2,away,True,False,False,https://www.maxpreps.com/games/10-03-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=jrstwNpaT0GWB17JC1LkMQ
10/06/2017,Texas School for the Deaf,L,"13-25,10-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=gxcwFT9oGkmglyPAEnMJeQ
10/06/2017,Maryland School for the Deaf,L,"21-25,19-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Mf8qEjwq6k-qnIN5HvixWw
10/06/2017,California School for the Deaf-Riverside,W,"20-25,25-20,15-7",2-1,3,1,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=00ZR6rrHq0Kljg4epxysZQ
10/06/2017,California School for the Deaf,L,"25-19,25-20,9-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=bdN5cNz-DU6SN0Ncuha9aA
10/07/2017,California School for the Deaf-Riverside,L,"25-20,19-25,9-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=paUazO1QJkO9ZedkCKvkeg#tab=box-score&schoolid=
10/07/2017,Indiana School for the Deaf,L,"14-25,17-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2017/volleyball-17/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=BX9GBKTUVU6seVpehhWDvw#tab=box-score&schoolid=
10/07/2017,California School for the Deaf,L,"17-25,25-21,10-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=CIFqlGLbYUSJTqp2kWgLpQ#tab=box-score&schoolid=
10/10/2017,Burke,W,"25-13,25-13,26-24",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-10-2017/volleyball-17/burke-vs-model-secondary-school-for-the-deaf.htm?c=qRN855amgEGJuhLVyPzHdg#tab=box-score&schoolid=
10/12/2017,Clinton Grace Christian,W,"25-8,26-24,25-16",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/10-12-2017/volleyball-17/clinton-grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=y9w5ED6PvUiDFWFn1eR4IQ#tab=box-score&schoolid=
10/14/2017,Bell,W,"25-8,25-18,25-15",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/10-14-2017/volleyball-17/bell-vs-model-secondary-school-for-the-deaf.htm?c=c9OwnbMPjUCLQC3kcrOvDQ#tab=box-score&schoolid=
10/17/2017,Field,W,"25-4,25-18,25-15",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-17-2017/volleyball-17/field-vs-model-secondary-school-for-the-deaf.htm?c=8w7Gs_HmcUyUJ_S9f3kqHw#tab=box-score&schoolid=
10/18/2017,Bishop Ireton,L,"13-25,9-25,24-26",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-18-2017/volleyball-17/bishop-ireton-vs-model-secondary-school-for-the-deaf.htm?c=ewkFjQ4ws0izvro7VJS3Mw#tab=box-score&schoolid=
10/20/2017,King Abdullah Academy,L,"15-25,12-25,14-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-20-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=TKdaUiuchkKoNHv-qxDIgw#tab=box-score&schoolid=
10/23/2017,Washington Christian Academy,W,"25-13,25-12,25-16",3-0,3,3,home,True,True,True,https://www.maxpreps.com/games/10-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=TqhVQMTbjkSmgW_8cVZouA#tab=box-score&schoolid=
10/25/2017,Burke,W,"25-14,25-17,25-19",3-0,3,3,home,True,True,True,https://www.maxpreps.com/games/10-25-2017/volleyball-17/burke-vs-model-secondary-school-for-the-deaf.htm?c=t8WQCuybzE2a7UwSAoYrzQ#tab=box-score&schoolid=
10/30/2017,Washington International,L,"15-25,25-22,18-25,27-25,5-15",2-3,5,-1,neutral,True,True,True,https://www.maxpreps.com/games/10-30-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=2xDX85iRNUeMz7kyjsoDdg#tab=box-score&schoolid=
11/07/2017,Bell,W,"25-22,17-25,25-23,25-11",3-1,4,2,away,False,True,True,https://www.maxpreps.com/games/11-07-2017/volleyball-17/bell-vs-model-secondary-school-for-the-deaf.htm?c=DCmDMylQvk6uHxM8pPAJRA#tab=box-score&schoolid=
11/08/2017,Jackson-Reed,L,"10-25,8-25,10-25",0-3,3,-3,away,False,True,True,https://www.maxpreps.com/games/11-08-2017/volleyball-17/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=q7lwwGAjd0KkLuhmfcTsHA#tab=box-score&schoolid=
08/30/2018,Spencerville Adventist Academy,W,"19-25,25-9,25-14,25-21",3-1,4,2,away,True,False,False,https://www.maxpreps.com/games/08-30-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=Trv2Kp4x9EKdJq0e1oDbzw
09/01/2018,Pallotti,W,"25-21,25-18",2-0,2,2,home,False,False,True,https://www.maxpreps.com/games/09-01-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-pallotti.htm?c=EgDQMP6Z5UKxE5FvP-M4Dw
09/01/2018,Clinton Grace Christian,W,NA,2-1,3,1,home,False,False,True,https://www.maxpreps.com/games/09-01-2018/volleyball-18/clinton-grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=_-Hn1q-o5Uq0RqFsMu-itw
